Broadway/Hogan	Broadway/Hogan residence hall community
Multicultural Affairs Advisory Board (MAAB)	Collectively works toward enhancing the OMA evaluating the needs of our diverse student population identifying relevant campus issues and promoting a campus environment of inclusion self-awareness intercultural engagement and social responsibility
Multicultural Business Association (MBA)	MBA is a pre-professional group with emphasis on (1) global business and (2) business in a variety of interests & fields. We distribute a weekly newsletter host a variety of educational networking and service events throughout the academic school year.
Multicultural Greek Council (MGC)	The Multicultural Greek Council (MGC) is the student organization that oversees the many multicultural fraternities and sororities on campus. It is also one of the three Greek councils that make up the Inter-Greek Council.
Muslim Students Association (MSA)	The MSA aims to foster Muslim life on campus and strengthen the bonds between our allies associates and members within the Columbia community. We are united in the goal of promoting MSAäó»s presence on campus for both current and future constituents.
Myanmar Association at Columbia (MAC)	MAC is a student-led effort across graduate and undergraduate schools at Columbia University to facilitate multidisciplinary dialogue awareness and action on issues related to Myanmar (Burma).
National Society of Black Engineers (NSBE)	"The National Society of Black Engineers (NSBE) is a pre-professional organization that strives to ""increase the number of culturally responsible black engineers that excel academically, succeed professionally, and positively impact the community"".  Contact: nsbe@columbia.edu"
Native American Council (NAC)	NAC strives to create a community for Indigenous students and their supporters in order to foster pride in identity understanding of Indigenous issues and relationships with both Columbia and our native communities.
Native American Heritage Month (NAHM)	Native American Heritage Month serves as a chance for Columbia students and community members to celebrate and honor Native American cultures. It is a time to educate learn and come together as a larger community.
New Student Orientation Program (NSOP)	This is the program that assists new students in their transition to life at Columbia.
Nightline Peer Listening (Nightline)	We are an anonymous nonjudgmental peer listening hotline open every night from 10 pm - 3 am.  We are here to listen to anything you have to say and here to get you through the night. 212 854 7777
No Red Tape	No Red Tape works to end sexual and domestic violence in our campus communities because we envision a world free of violence and oppression. We fight to end sexual and domestic violence on college campuses and empower survivors.
Nonsequitur (Nonseq)	Nonsequitur is a co-ed a cappella group that sings a wide variety of music. In addition to on-campus performances we record and compete in national competitions.
Notes and Keys (NaK)	"Notes & Keys affectionately known as ""NaK"" is the oldest co-ed a cappella group at Columbia University. We have arrangements of all genres written by our own members and have performed at well-known venues from Gracie Mansion to Yankee Stadium."
Nourish International at Columbia (Columbia Nourish)	As a chapter of Nourish International we equip students with business skills to run ventures and allieviate global poverty through global projects.
Office of Multicultural Affairs (OMA)	In collaboration with students and University partners the OMA promotes an inclusive university climate by acting as an educational resource that prepares students to succeed in a heterogeneous and ever-changing society.
Offices of Community Development (OCD)	Community Development is comprised of five individual offices that work toward a common mission and shared goals.
Omega Phi Beta	OPBSI envisions a world without oppression where empowered women celebrate the essence of womanhood and act as resources in the advancement of their communities.
One-to-One Tutoring (One-to-One)	One-to-One Tutoring provides individual tutoring to neighborhood elementary children for two hours on Saturdays in Lerner Hall. Tutoring is open to any elementary students enrollment is not school-specific.
Onyx Dance Troupe (Onyx)	Onyx Dance Troupe is a pre-professional hip-hop dance group at Columbia University. Our main goals are to fulfill our passion for dance expose the university community to real street styles of dance and to improve on our individual hip hop technique.
Orchesis	Columbia's largest dance group - all are welcome to audition and all will be cast to dance!
Order of Omega	This organization has not yet updated their description.
Organization of Pakistani Students (OPS)	We are a dually-recognized group that seeks to bring together all members of the Columbia and Barnard community who share our interest in accurately comprehending and conveying the socio-political milieu of Pakistan through a variety of events.
Orthodox Christian Fellowship (OCF)	The Orthodox Christian Fellowship is dedicated to providing fellowship for Orthodox students on campus. We meet every Thursday in the Choir Room of St. Paul's Chapel at 7:30 pm. Our weekly meetings include fellowships with guest speakers Bible studies
Panhellenic Council (PHC)	Panhellenic Council
Peace by PEACE	Volunteer group that teaches non-violent conflict resolution skills to students in grades 2-6 in Harlem and the Bronx through an interactive curriculum that involves discussion games arts and crafts and loads of fun for all involved.
Phi Gamma Delta	The Omega Chapter of Phi Gamma Delta at Columbia University is committed to fostering core values of Friendship Knowledge Service Morality and Excellence in college men.
Phi Iota Alpha Fraternity Inc. (Phi Iota Alpha)	Phi Iota Alpha's mission is to develop leaders and create innovative ways to unite the Latinx community. Our fraternity's roots extend from the late 19th century to the first Latino fraternity and the first Latino student organization in the United State
Philolexian Society (Philo)	Excellence Through Brotherhood.
Pi Delta Psi (PDPsi)	
Pi Kappa Alpha (PIKE)	Pi Kappa Alpha is an international fraternity whose members strive to be scholars leaders athletes and gentlemen. For more information please visit our chapter website: http://www.columbiapikes.com/index.html
PLATEAU ENGAGE	Working towards transformative and meaningful changes for the future of Himalayan communities
Policy Debate Union (Policy Debate)	This organization has not yet updated their description.
Polish Club	The Polish Club exists to promote a greater understanding of Polish culture politics society and history throughout the CU community. Our events include Polish movie screenings conversation hours a Wigilia dinner and a Chopin Piano Competition.
Political Science Students Association (PSSA)	Our organization strives to serve Columbia Universityäó»s Political Science Department in two ways: Community Building and Information/Guidance. All members of the Political Science community are PSSA General Body Members.
Postcrypt Art Gallery	Postcrypt Art Gallery is an undergraduate student-run exhibition space located in St. Paul's Chapel. Postcrypt is made up of artists curators art historians and art enthusiasts who work collectively to put together innovative exhibitions and events.
Postcrypt Coffeehouse	The Postcrypt Coffeehouse (est. 1964) is a student-run free acoustic music venue that features professional and student musicians every Friday and Saturday night from 8:30 to 11:30 in the basement of St. Paul's chapel on campus.
Pre-Law Society (Pre-Law)	The Columbia Pre-Law Society as the student counterpart to The Office of Preprofessional Advising at Columbia University provides perspective law students with a forum to discuss interact and debate with our nation's laws and processes. We organize ev
Premedical Association (PMA)	A pre-professional organization.
Prison Reform and Education Project (PREP)	The mission of PREP is to educate and empower incarcerated youth in New York City by leveraging the educational resources of the Columbia student body. Through our work we aim to contribute to an understanding at Columbia of social justice in education.
Project for the Homeless (PFH)	Project for the Homeless (PFH) is a student organization that staffs two small homeless shelters in Manhattan the men's shelter at Stephen Wise Free Synagogue and the women's shelter at the New York Society for Ethical Culture.
Project Tutors	Project Tutors volunteers serve as teacher's assistants or as as one-to-one and small group tutors. As tutors and mentors volunteers teach students new material inspire better classroom behavior and relieve teachers of day-to-day stress.
Proud Colors	Proud Colors is a group for and about people. Through a comprehensive action program we promote an understanding of the experiences problems and needs of queer and trans- students of color as well as the queer and trans- community of color as a whole.
Queer Awareness Month (QuAM)	Queer Awareness Month
Quiz Bowl	Quiz Bowl is a team-based buzzer-style competition. Quiz Bowl tests your reflexes and your knowledge of any academic topic. We participate in several intercollegiate tournaments at other colleges and also host competitions at Columbia.
Racquetball	This organization has not yet updated their description.
Raw Elementz	Raw Elementz is the largest hip-hop dance crew at Columbia University.
Reformed University Fellowship (RUF)	Reformed University Fellowship (RUF) at Columbia exists to foster a community where students explore the claims of Christianity in a thoughtful and respectful atmosphere and to mature in their Christian faith.
Remnant Christian Fellowship (RCF)	We are a Christian Fellowship that serves the Columbia and Barnard Community as an on-campus extension of Remnant Westside Church which exists to raise up a new generation liberated and empowered by the gospel. We have Small Groups and events weekly.
Residence Hall Leadership Organization (RHLO)	Residence Hall Leadership Organization (RHLO)
Residential Life Hall Councils	Hall councils for Res Life
Residential Life Inter-Greek Council	*Please write organization summary*
Rhapsody The Urbana Affairs Magazine of Columbia University (Rhapsody)	This organization has not yet updated their description.
Robogals	Robogals shall exist to substantially increase the number of young women pursuing engineering in their tertiary studies and careers.
Robotics	Robotics is an engineering group that builds robots and competes in national competitions
Rock Climbing Club	We organize trips to local gyms and crags in the NY/VT/NH region and offer discounted climbing gym memberships. We also have a team that competes in the CCS division of USA Climbing.  Beginners and climbers of all levels are welcome!
Romanian Club	Our goal is to raise the awareness of the Romanian culture by hosting monthly movie screenings and 2 piano concerts by the exceptional pianist Matei Varga in the spring to bring anyone interested in learning more about the Romanian culture together.
Roosevelt Institute (Roosevelt)	Roosevelt Institute is a student-run think tank. We hold weekly discussions on a range of policy issues and publish a yearly journal of policy proposals. We are a chapter of a national organization the Roosevelt Institute Campus Network.
ROOTEd	ROOTEd (Respecting Ourselves and Others Through Education) is a non-hierarchical peer facilitation group through the Office of Multicultural Affairs dedicated to encouraging dialogue around power privilege and identity.
Rotaract	The Rotaract Club of Columbia University is focused on providing humanitarian services as well as professional development and networking opportunities for young professionals. We work closely with the Rotary clubs in New York City.
Rugby - Mens (Rugby (Mens))	This organization has not yet updated their description.
Russian International Association (RIA)	RIA was created in order to unify and educate the Columbia Community about the Russian language culture and the legacy of the Soviet and Post-Soviet regimes.
Sabor	Sabor is Columbia's first Latino Dance Troupe. Since 2003 Sabor's repertoire has extended beyond just being a Latin dance team. Staying true to our name we have explored other styles including: hip-hop bhangra modern tap and much more!
SACBO Events	General Events for SACBO
Sailing	The undergraduate sailing team of Columbia University - more information at columbiasailing.org!
Saving Mothers	This organization has not yet updated their description.
Schapiro	Schapiro residence hall community
Scientists and Engineers for a Better Society (SEBS)	To foster interest discussion and innovation in the fields of science and technology; with the aim of employing them to aid in the betterment of mankind.
Sci-Inspire	Sci-Inspire at Columbia University aims to facilitate the recruitment and management of volunteers both in the School of Engineering and Applied Science and Columbia College who show a demonstration and commitment to performing STEMbased volunteer work.
SEAS 2013	Columbia Engineering Seniors
SEAS 2014	We are the class council for 2014 Engineers.
SEAS 2015	The elected and appointed officials representing the Columbia Engineering Class of 2015.
SEAS 2018 Student Council (SEAS '18)	The 2018 officials of the Engineering Student Council.
Senior Week (current year)	You only graduate once. So get your friends together party with the rest of the Class of 2016 and don't miss out on a weekend of fun.
Service to School (S2SCU)	An un-conventional support system for Veterans in the process of applying to College. Integrating the Columbia University student body by assisting veterans making the transition to school.
SGB GROUP COALITION	This organization has not yet updated their description.
SGB INDIVIDUAL COALITION 1 (SGB INDIV.COALI.1)	This organization has not yet updated their description.
SGB INDIVIDUAL COALITION 2 (SGB INDIV.COALI. 2)	This organization has not yet updated their description.
SGO	The SGO manager is responsible for the upkeep and maintenance of the 5th floor of Lerner. Responsibilities include allocating storage space distributing keys to student groups taking reservations for the SGO conference area and ordering SGO supplies.
Shotokan Karate	We are the Columbia University Shotokan Karate Club affiliated with Shotokan Karate of America. Our goal is to practice shotokan karate as a martial art at its highest level. We welcome anybody who is ready for a hard and serious practice.
SIC House River 604/606 Q-House	SIC House River 604/606 Q-House
Sigma Chi	This organization has not yet updated their description.
Sigma Delta Tau	Sigma Delta Tau Sorority
Sigma Lambda Beta - Epsilon Delta Chapter (SLB)	To nurture and further a dynamic values-based environment which utilizes our historically Latino-based fraternity as a catalyst to better serve the needs and wants of all people.
Sigma Lambda Gamma (SLG)	Sigma Lambda Gamma National Sorority Inc. strives to be the premier organization committed to providing a mechanism of empowerment to ALL women. It is the largest multicultural membership sorority in the country.
Sigma Nu	Men that share in philanthropy leadership morality and brotherhood.
Sigma Phi Epsilon (SigEp)	80-man chapter representing one of the largest national fraternities of devoted men committed to serving the Columbia and Morningside Heights Communities through community service and philanthropy.
Singapore Students Association (SSA)	An organization aimed at providing events and creating a sense of community for Singaporean students at Columbia.
Sister Circle	SisterCircle established in 2003 is a program that brings together women of color (those who may identify as Asian Black/African Latino Native and/or Middle Eastern heritage) at Columbia University and Barnard College to foster a sense of community
Ski and Snowboard	CU Ski and Snowboard is a co-ed club open to both recreational and competitive members. After a race season at premier hills in New York and New Jersey the club takes a number of weekend overnight trips to ski resorts throughout New England.
Society for the Advancement of Underrepresented Filmmakers	A media group recognized by the ABC.
Society of Automotive Engineers (SAE)	Each year the Knickerbocker Motorsports team designs and builds a college-level formula-style race car competing with it at the Formula SAE Collegiate Series event in Michigan.
Society of Hispanic Professional Engineers (SHPE)	The Society of Hispanic Professional Engineers (SHPE) vision is to be the leading social-technical organization whose primary functions is to enhance and achieve the potential of Hispanics in engineering math and science.
Society of International Undergraduates (SIU)	The Society of International Undergraduates is the official student group for international and internationally-minded students of Columbia University's four undergraduate colleges (BC CC GS CE).
Society of Women Engineers (SWE)	"The Society of Women Engineers is a non-profit educational and service organization that empowers women to aspire to careers in engineering and thrive as leaders in society. To learn more about SWE and our upcoming events, visit our Facebook page at https://www.facebook.com/columbiaswe/ or our webpage at http://www.seas.columbia.edu/swe/. You can also email swe@columbia.edu."
Sounds of China (SOC)	We provide a resource for all to pursue interests in the Chinese language and culture beyond the boundaries of Columbia. Some of our event-highlights include radio drama production movie screening Karaoke Klash and Mahjong Madness.
Southeast Asian League (SEAL)	The Southeast Asian League (SEAL) has been established at Columbia University in recognition of the distinctive and rich cultural diversity of the nations within Southeast Asia. These nations are Brunei Cambodia East Timor Indonesia Laos Malaysia M
Special Interest Community (SIC)	Special Interest Community residential communities
Squash - Mens (Squash (Mens))	This organization has not yet updated their description.
Squash - Womens (Squash (Womens))	This organization has not yet updated their description.
Student Coalition on Expansion and Gentrification (SCEG)	This organization has not yet updated their description.
Student Financial Advising (SFA)	Student Financial Advising (SFA) supports Undergraduate Student Life in fiscal management and also supports the finances and operations of all student groups advised by Undergraduate Student Life.
Student Governing Board (SGB)	The SGB represents and serves the needs of Columbia University student organizations whose concerns are religious spiritual political ideological humanitarian or activist in nature.
Student Government Capital Improvement Fund (C.I.F.)	Joint student government fund to finance student group capital improvements.
Student Government Office (SGO)	Student Government Office
Student Government Travel Fund (SGTF)	A student government fund to support student group travel.
Student Health Outreach Program (SHOUT)	Student Health Outreach Program (SHOUT) serves in community-based organizations and school programs. Volunteers educate families about the availability of health insurance and other government benefits and provide eligibility and screenings.
Student LionLink Adoption Work Group (The SLAW)	To develop a team of undergraduate students to lead the adoption of LionLink within the student group community and broadly across campus
Student Organization of Latinxs (SOL)	"The Columbia University Student Organization of Latinos (SOL) seeks to foster and empower the existing Latino/Latin American identities on campus in an effort to celebrate and strengthen the Latino Community at Columbia University. 
Contact is sol-board@columbia.edu; iml2116@columbia.edu"
Student Union of Sustainable Development	SUSD supports prospective and declared undergraduate Sustainable Development majors at Columbia University.
STUDENTS AGAINST MASS INCARCERATION (SAMI)	A prison abolitionist organization.
Students for Education Reform (SFER)	SFER is a national advocacy group dedicated to mobilizing the student voice in ongoing conversations regarding the reformation of American public schools (P-12). SFER-Columbia focuses specifically on making positive change in New York City and State.
Students for Environmental and Economic Justice (SEEJ)	Students for Environmental and Economic Justice aims to give students a structure through which to pursue their own initiatives addressing environmental and/or economic justice issues.
Students for International Security (SIS)	This organization has not yet updated their description.
Students for Justice in Palestine (SJP)	We are a Columbia student group organizing for justice and human rights for Palestinians. We work to raise awareness about issues relating to Palestine and we support the Palestinian Civil Society call for Boycott Divestment and Sanctions of Israel.  Contact: columbiasjp@gmail.com Tag: SJP
Students for Sensible Drug Policy (SSDP)	Students for Sensible Drug Policy promotes alternatives to the failed War on Drugs. We are a grassroots student-led organization comprised of thousands of students on hundreds of high school and college campuses in the United States and internationally.
Students Organize for Syria (SOS)	Students Organize for Syria (SOS) is the student led movement for Syria. We exist to assist the Syrian people in their effort to build a self-determined pluralistic society by standing in solidarity with them.
Students Supporting Israel (SSI Col U)	SSI will provide students at Columbia University with the opportunity to support Israeläó»s right to exist in the Middle East as part of an indigenous liberation movement that is strong and thriving where students are empowered to express their views.
Student-Worker Solidarity (SWS)	We are members of the Columbia community fighting for economic and educational justice. To do so we strive to promote support and solidarity between students and workers both on our own University campus and outside of its gates.
Symposium	A humanitarian group recognized through SGB.
Taal	The fundamental intent of Taal is to promote awareness of South Asian dance thereby promoting awareness of both Indian culture and the arts. Taal fuses classical Indian forms with Western forms to create our own unique style of fusion.
Table for Two CU (TFT CU)	Table for Two simultaneously tackles the opposing issues of undernutrition in developing countries and obesity (and äóìovernutritionäó) in the developed world.
Tablet	Tablet formerly the Asian Journal.
Tae Kwon Do	"Tae Kwon Do is a Korean martial art which means ""way of the hand and foot."" The Columbia Tae Kwon Do team practices regularly in Dodge gym competes in both sparring and forms and puts on several demonstrations during the year."
Taiwanese American Students Association (TASA)	The Columbia Taiwanese American Students Association is an undergraduate organization dedicated to building a greater community on campus and within New York City with a focus on raising Taiwanese cultural awareness and identity.
TASC/Spanish TASC	TASC & Spanish TASC helps adults achieve high school equivalency diplomas and move on to college and employment.
Terence Cardinal Cooke At Your Service Volunteer Program (TCC AYS)	A humanitarian group recognized by the SGB.
Test	Test Club @ Columbia
Thai Club	Thai Club is a culture club which aims to bring the Thai Students community closer together whilst at the same time increasing awareness of Thai culture to the college community.
The Birch	Established in 2004 The Birch serves as a forum for undergraduate students to publish criticism and creative work on Eastern European and Eurasian culture politics and more.
The Blue and White (theblueandwhite)	Columbia's monthly undergraduate magazine
The Blue Key Society of Columbia University (Blue Key)	Blue Key is one of Columbia's oldest community service organizations. We participate in community service both outside and within the Columbia University community. We are also responsible for the Yule Log Ceremony in December.
The Columbia International Relations Council and Association (CIRCA)	CIRCA is one of Columbiaäó»s largest and most active undergraduate organizations and the largest devoted to international relations with a broad profile of activities that extends across Columbia the nation and the globe.
The Lion	The Lion is a Columbia publication dedicated to fostering open discourse on campus as well as creating products like LionBot to make life at Columbia easier.
The Columbia University Society of Hip-Hop (CUSH)	CUSH is a student group that acts as an authority on Hip-Hop. We provide a forum and create a community for Hip-Hop fans both on and off campus.
The Culinarian	A publication group recognized by the ABC.
The Current: A Journal of Politics Culture & Jewish Affairs (CURRENT)	The Current is the undergraduate journal of contemporary politics culture and Jewish affairs of Columbia University.
The Gadfly (Gadfly)	The Gadfly is Columbia's undergraduate journal of philosophy. We publish primarily non-academic writing of interest to students of the broader liberal arts.
The Helvidius Group (Journal of Politics & Society) (Helvidius)	The Helvidius Group is the publisher of the Journal of Politics & Society Columbia's premier undergraduate social science journal.
The John Jay Society	A groups of friends who debate conservative ideas every week!
The Journal of Global Health (JGH)	The Journal of Global Health (JGH) is an international public health publication and media organization based at Columbia University. We are committed to featuring original student research in public health and spotlighting public health activism.
The Student Wellness Project (SWP)	SWP's aim is to help Columbia University students feel like their best selves by promoting a campus culture of well-being.
The Varsity Show (Varsity Show)	The Varsity Show founded in 1894 is one of the oldest traditions at Columbia University. It is an annual full length student written musical and draws together the Columbia community every year for a series of sold-out performances.
Toddler Learning Center (TLC)	TLC brings together student volunteers with a group of neighborhood preschoolers on Saturday mornings on campus. Their mission is to foster curiosity through creative expression. Activities include science experiments arts and crafts and field trips.
Transdisciplinary Research for a Common Truth (TRACT)	Breaking disciplinary boundaries finding connections gaining understanding.
Triathlon	Columbia University Triathlon Club:
A Training and Racing Organization for Beginner to Elite Triathletes	
Turath: The Arab Students' Organization at Columbia University (Turath)	Turath is a nonpartisan undergraduate student association that serves to promote Arab culture at Columbia University. Our aim is to spread educational awareness about issues pertaining to the Arab world and celebrate the heritage of the Arab community.
U.S. Military Veterans of Columbia University (Milvets)	Milvets is entrusted to provide and promote a general support structure and network to the undergraduate veterans and the Columbia University veteran community at large.
Ukrainian Students Society	The goal of the Ukrainian Students Society at Columbia University is to unite Ukrainian students by celebrating and sharing their own culture; we warmly welcome and invite all students interested in Ukraine and its people.
Ultimate - Womens (Ultimate (Womens) NYPD)	We are the women's ultimate frisbee team at Columbia/Barnard known as Pandemic--we are a club sport and welcome both new and experienced players.
Undergraduate Committee on Global Thought (UCGT)	As an extension of the Committee on Global Thought the Undergraduate Committee on Global Thought has been active since 2011 and has organized numerous events on campus aimed to facilitate communication with undergraduate and the administrative body
Unite for Sight	Unite For SightŒ¬ is a 501(c)(3) non-profit global health delivery organization that supports eye clinics worldwide by investing human and financial resources in their social ventures to eliminate patient barriers to eye care.
United Students of Color Council (USCC)	This organization has not yet updated their description.
University Bible Fellowship (CUBF)	Columbia University Bible Fellowship (CUBF) is a non-denominational evangelistic campus organization and Christian club focused on raising disciples of Jesus at Columbia University.
Untapped	UnTapped is the self-proclaimed äóìmost fun group on campusäó. Their goal is to allow tappers of all levels to practice learn and perform.
Up 'til Dawn	A humanitarian group recognized through SGB.
Uptown Vocal	Uptown Vocal is Columbia's premier jazz/pop a cappella group.
Urban China Network	Urban China Network (UCN) serves as an international platform that allows students scholars experts and entrepreneurs who care about the urban development issues in China to communicate and interact.
US Indian Political Action Committee (USINPAC)	This organization has not yet updated their description.
Venom Step Team	Incorporating complex rhythms and intricate steps Venom Step Team is a student-run dance team that strives to perform and amaze through entertainment while conveying a positive message about fitness self-image and camaraderie.
Veritas Forum	Veritas Forum is one the most solid and vibrant groups on campus that exists to facilitate dialogue on the deepest questions.  We host weekly discussion groups on campus in residence halls and large scale forums with experts as guest speakers.
Vietnamese Students Association (VSA)	The Columbia University Vietnamese Students Association offers Vietnamese cultural and educational activities to the Columbia community.
Vivace Chamber Singers	A classical a cappella chamber choir for Columbia and Barnard students.
Volleyball- Mens	Just some guys getting together and playing volleyball. Whether you are just a beginner and want to try a new sport or play hard and compete with other schools come join us! We practice every Monday and Thursday at 9PM in Levien Gym.
Voltage	Columbia's First Percussion Ensemble which aims at providing the community with musical entertainment and high energy performances.
Water Polo - Women's (Water Polo (Women's))	Welcome to Columbia Women's Water Polo Club!  We meet on Mondays and Wednesdays from 9:30 to 11:30 pm and Sundays from 5:00 to 7:00 pm at Uris Pool in Dodge Fitness Center.  All water polo players are welcome regardless of experience levels!
Waterpolo  - Mens (Waterpolo (Mens))	The Columbia Men's Water Polo Team is the defending 4-time State Champions. The team consists of a variety of Columbia students including students from CC SEAS GS and all graduate schools.
Watt/Ruggles	Watt/Ruggles residence hall communities
West Coast Connection	West Coast Connection
Wien	Wien residence hall community
WKCR (WKCR 89.9 FM)	WKCR-FM Columbia Universityäó»s non-commercial student-run radio station is dedicated to presenting a spectrum of alternative programmingäóîtraditional and art music spoken arts and original journalism.
Women in Computer Science	Women in Computer Science at Columbia University aims to bring together women and men who support the advancement of women in computer science in academia and in industry.
Women's Club Volleyball	Columbia University's Women's Club Volleyball Team
Women's History Month (WHM)	The Women's History Month Committee strives to bring the campus community together to celebrate the achievement of women and to bring women's issues to the forefront.
Youth for Debate (Youth for Debate YFD)	Youth For Debate teaches structured argumentation and persuasive speaking to underserved New York City public school students and gives them experience expressing themselves in front of others.
Youth Outreach Developments in Literacy (YOUR-DIL)	This organization has not yet updated their description.
Zeta Beta Tau	"ZBT is a fraternity on Columbia's campus open to all men of good character, with a focus on brotherhood and social awareness. As a nationally non-pledging, non-hazing organization, ZBT emphasizes equality and a uniformly positive relationship between its members. The Columbia chapter is one of nearly 100 around the county, creating a large national network for opportunities and support.  Contact:  zrd2104@columbia.edu Tags: Zeta Beta Tau, ZBT"
